task,repeat,direct_generation_status,intent_generation_status,direct_seed_ms,intent_seed_ms,intent_over_direct_seed,direct_optimization_status,intent_optimization_status,direct_optimized_ms,intent_optimized_ms,intent_over_direct_optimized,direct_optimization_speedup,intent_optimization_speedup
fused_cholesky_solve,0,pass,pass,7.501408100128174,42.76387023925781,5.700779062870493,candidate_budget,phase_time_budget,1.4982719421386719,0.5396479964256287,0.36018027251803253,5.006706652612389,79.24400817293
fused_cholesky_solve,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_cholesky_solve,2,not_run,not_run,,,,not_run,not_run,,,,,
fused_qr_solve,0,pass,compilation_failure,16.26518440246582,,,candidate_budget,not_run,2.325023889541626,,,6.9957063562355355,
fused_qr_solve,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_qr_solve,2,not_run,not_run,,,,not_run,not_run,,,,,
add_gelu,0,pass,pass,0.007815999910235405,0.006856000050902367,0.877175042175234,candidate_budget,candidate_budget,0.005936000030487776,0.006144000217318535,1.03504046256106,1.316711568411691,1.1158853854817365
add_gelu,1,not_run,not_run,,,,not_run,not_run,,,,,
add_gelu,2,not_run,not_run,,,,not_run,not_run,,,,,
mul_relu,0,pass,pass,0.009999999776482582,0.01003200002014637,1.003200024437905,candidate_budget,candidate_budget,0.009871999733150005,0.0098879998549819,1.0016207579279166,1.0129659690835238,1.0145631237132269
mul_relu,1,not_run,not_run,,,,not_run,not_run,,,,,
mul_relu,2,not_run,not_run,,,,not_run,not_run,,,,,
mul_sub,0,pass,pass,0.012064000125974417,0.01208000024780631,1.0013262700318981,not_run,not_run,,,,,
mul_sub,1,not_run,not_run,,,,not_run,not_run,,,,,
mul_sub,2,not_run,not_run,,,,not_run,not_run,,,,,
sub_gelu,0,pass,pass,0.010015999898314476,0.01003200002014637,1.001597456269402,not_run,not_run,,,,,
sub_gelu,1,not_run,not_run,,,,not_run,not_run,,,,,
sub_gelu,2,not_run,not_run,,,,not_run,not_run,,,,,
relu_conv2d,0,pass,pass,0.012048000004142523,1.902351975440979,157.8977402711557,not_run,not_run,,,,,
relu_conv2d,1,not_run,not_run,,,,not_run,not_run,,,,,
relu_conv2d,2,not_run,not_run,,,,not_run,not_run,,,,,
gelu_conv2d,0,pass,compilation_failure,0.06328000128269196,,,candidate_budget,not_run,0.036584001034498215,,,1.7297178956183545,
gelu_conv2d,1,not_run,not_run,,,,not_run,not_run,,,,,
gelu_conv2d,2,not_run,not_run,,,,not_run,not_run,,,,,
conv2d_add,0,pass,pass,0.031487999483942986,1.702560007572174,54.07012307785316,not_run,not_run,,,,,
conv2d_add,1,not_run,not_run,,,,not_run,not_run,,,,,
conv2d_add,2,not_run,not_run,,,,not_run,not_run,,,,,
combined_activation,0,pass,pass,0.044703999534249306,0.01411199988797307,0.3156764503176359,candidate_budget,candidate_budget,0.01616000011563301,0.012360000051558018,0.7648514828660853,2.766336585047616,1.1417475589892256
combined_activation,1,not_run,not_run,,,,not_run,not_run,,,,,
combined_activation,2,not_run,not_run,,,,not_run,not_run,,,,,
