task,arm,repeat,first_correct,budget_correct,generation_evaluation_repaired,generation_status,seed_ms,static_intent_ms,optimization_status,optimized_ms,optimized_best_stage,seed_ratio,optimized_ratio,paired_reference_target_ms,generation_first_reference_checkpoint,optimization_first_reference_checkpoint,generation_agent_seconds,generation_benchmark_seconds,generation_input_tokens,generation_cached_input_tokens,generation_output_tokens,generation_calls_without_reported_usage,optimization_agent_seconds,optimization_benchmark_seconds,optimization_input_tokens,optimization_cached_input_tokens,optimization_output_tokens,optimization_calls_without_reported_usage
log,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
log1p,triton,0,True,True,False,pass,0.006864000111818314,,candidate_budget,0.005927999969571829,optimization,0.9597315624140762,0.7507598694567893,0.0066880000522360206,,1,147.04016977502033,3.177294568857178,188172,140032,6744,0,738.248878643848,21.477502190042287,1442784,1249024,33571,0
log1p,intent,0,False,True,False,pass,0.007984000025317073,0.007984000025317073,candidate_budget,0.005888000130653381,optimization,1.282776327303915,0.7479675085304689,0.0066880000522360206,,1,363.1165840229951,48.13135957578197,620843,517120,16212,0,753.2301278179511,22.61921792384237,1257601,1088000,33406,0
log1p,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
log1p,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
log1p,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
log1p,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mul,triton,0,True,True,False,pass,0.007599999895319343,,not_run,,,0.9753593344485818,,0.006968000088818371,,,61.031434452859685,3.747802582103759,128053,109312,2309,0,0,0,0,0,0,0
mul,intent,0,True,True,False,pass,0.006880000000819564,0.006880000000819564,not_run,,,1.1197916271920716,,0.006968000088818371,1,,82.04893733584322,5.238754819147289,161607,124672,3301,0,0,0,0,0,0,0
mul,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mul,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mul,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mul,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
relu,triton,0,True,True,False,pass,0.0059200001414865255,,candidate_budget,0.005888000130653381,optimization,0.816777060450808,0.7464503435358989,0.0075919999508187175,1,0,71.02763781114481,2.9751506538596004,108959,74752,2774,0,558.2536221335176,18.244799437001348,819469,670464,25733,0
relu,intent,0,True,True,False,pass,0.006128000095486641,0.006128000095486641,candidate_budget,0.00583200016990304,optimization,0.7721774418319454,0.7453987974701927,0.0075919999508187175,1,0,90.09165341104381,5.029364045942202,213004,163072,3332,0,1043.311567919096,18.85280486010015,1123010,945920,50529,0
relu,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
relu,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
relu,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
relu,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
rsqrt,triton,0,True,True,True,pass,0.005888000130653381,,candidate_budget,0.005535999778658152,optimization,,,,,,413.1856981429737,15.275083133019507,710167,578560,17642,0,589.2743373748381,18.135959984268993,743421,640512,26972,0
rsqrt,intent,0,True,True,False,pass,0.0074880002066493034,0.0074880002066493034,candidate_budget,0.005696000065654516,optimization,,,,,,141.08722083410248,13.773643244057894,297837,257024,5561,0,691.2910498920828,19.994721284136176,948605,784384,32434,0
rsqrt,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
rsqrt,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
rsqrt,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
rsqrt,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sigmoid,triton,0,True,True,False,pass,0.007823999971151352,,not_run,,,1.0,,0.007832000032067299,1,,67.03799832705408,3.58356928313151,122608,104192,2594,0,0,0,0,0,0,0
sigmoid,intent,0,True,True,False,pass,0.007839999860152602,0.007839999860152602,not_run,,,0.9999999703022142,,0.007832000032067299,,,87.0400499929674,13.075852351030335,269966,233472,3302,0,0,0,0,0,0,0
sigmoid,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sigmoid,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sigmoid,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sigmoid,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sqrt,triton,0,True,True,False,pass,0.005839999997988343,,candidate_budget,0.005839999997988343,generation,0.7448979500925146,0.7448979500925146,0.00790000008419156,1,0,92.06416194001213,3.578586542978883,203872,180480,3573,0,650.2736453604884,15.727771399077028,759705,608000,30735,0
sqrt,intent,0,True,True,False,pass,0.006128000095486641,0.006128000095486641,candidate_budget,0.005904000019654632,optimization,0.7698492509346864,0.7454545475925679,0.00790000008419156,1,0,103.07240480091423,4.434167772065848,309775,260096,3849,0,808.2845896640792,21.5087439364288,1041579,881920,38057,0
sqrt,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sqrt,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sqrt,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sqrt,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tanh,triton,0,False,True,False,pass,0.006704000057652593,,candidate_budget,0.0059200001414865255,optimization,0.8568507262744859,0.8258928923799771,0.007027999963611364,2,0,137.0991053848993,9.335122643969953,325485,273408,4999,0,616.2278672442771,15.076796103967354,1146162,959488,26597,0
tanh,intent,0,True,True,False,pass,0.007967999903485179,0.007967999903485179,candidate_budget,0.0059200001414865255,optimization,1.2785622528322622,0.8286674428122761,0.007027999963611364,,1,68.09473304008134,6.5375091780442744,171982,147968,2979,0,1038.3752619631123,21.115747690899298,1383735,1191424,49880,0
tanh,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tanh,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tanh,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tanh,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
argmax,triton,0,False,True,False,pass,0.007967999903485179,,candidate_budget,0.007840000092983246,optimization,0.7603053556203808,0.7390648829310464,0.010471999878063798,2,0,286.0893172270153,6.755230805138126,321586,261376,13775,0,1074.3378019321244,16.991289206780493,1107675,939520,48456,0
argmax,intent,0,False,True,False,pass,0.1390720009803772,0.1390720009803772,candidate_budget,0.007832000032067299,optimization,13.290519907887711,0.7383107293578115,0.010471999878063798,,1,152.12661836785264,6.811044265981764,367282,309248,5657,0,1393.4197799428366,18.38126013893634,1413123,1239808,67877,0
argmax,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
argmax,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
argmax,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
argmax,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
max,triton,0,True,True,False,pass,0.009320000186562538,,candidate_budget,0.007967999903485179,optimization,0.73734176818807,0.755690417040659,0.012640000320971012,1,0,166.0593999219127,4.43928492302075,118373,96256,8160,0,1399.42563933786,17.350294959032908,1256609,1088512,70775,0
max,intent,0,True,True,False,pass,0.22836799919605255,0.22836799919605255,candidate_budget,0.00787200010381639,optimization,18.06708808520894,0.6227848025253577,0.012640000320971012,,1,161.08879450615495,5.987193866865709,236812,174336,7369,0,1460.4459741078317,16.932833112310618,1686952,1458688,60544,0
max,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
max,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
max,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
max,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mean,triton,0,False,True,False,pass,0.007840000092983246,,candidate_budget,0.007840000092983246,generation,0.7390648829310464,0.7390648829310464,0.01040799985639751,3,0,299.0887397779152,46.69520045281388,394577,329984,13344,0,794.3016639272682,17.998147781239823,833116,710656,37585,0
mean,intent,0,False,True,False,pass,0.11036799848079681,0.11036799848079681,candidate_budget,0.007855999981984496,optimization,10.811912115737632,0.7405731681289257,0.01040799985639751,,1,183.0832899902016,7.411439091898501,412211,359168,7746,0,1072.3443210818805,18.695708012906834,1193565,1043456,51745,0
mean,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mean,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mean,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mean,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
min,triton,0,False,True,False,pass,0.14243200421333313,,not_run,,,9.665581187536773,,0.014648000011220574,,,383.1173584042117,190.69962426787242,569918,501504,17622,0,0,0,0,0,0,0
min,intent,0,False,True,False,pass,0.007967999903485179,0.007967999903485179,not_run,,,0.5472527391341808,,0.014648000011220574,4,,678.2700948768761,31.145561389392242,1684985,1353984,30763,0,0,0,0,0,0,0
min,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
min,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
min,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
min,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sum,triton,0,True,True,False,pass,0.007952000014483929,,not_run,,,0.758778648611805,,0.010343999834731221,1,,107.02862696093507,256.6517211389728,125568,108288,4878,0,0,0,0,0,0,0
sum,intent,0,True,True,False,pass,0.11038399860262871,0.11038399860262871,not_run,,,10.81347952579733,,0.010343999834731221,,,82.04535839590244,4.383897145977244,180575,154112,3237,0,0,0,0,0,0,0
sum,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sum,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sum,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sum,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
std,triton,0,True,True,False,pass,0.008200000040233135,,not_run,,,0.6126718530748171,,0.012956000166013837,1,,163.0653145199176,4.303421723889187,140887,116480,7729,0,0,0,0,0,0,0
std,intent,0,True,True,False,pass,0.19228800386190414,0.19228800386190414,not_run,,,15.348658822682818,,0.012956000166013837,,,141.05273245996796,8.250248322961852,326454,277504,5924,0,0,0,0,0,0,0
std,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
std,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
std,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
std,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
softmax,triton,0,True,True,False,pass,0.007960000075399876,,candidate_budget,0.007823999971151352,optimization,0.9989960054992214,0.9989785417667018,0.00788799999281764,,1,93.04562848201022,7.903710919898003,151854,131584,3621,0,440.14611179893836,18.697109303204343,584774,477696,18305,0
softmax,intent,0,True,True,False,pass,0.007823999971151352,0.007823999971151352,not_run,,,1.0020491660902806,,0.00788799999281764,1,,129.06853234185837,5.502818105975166,341023,288768,4882,0,0,0,0,0,0,0
softmax,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
softmax,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
softmax,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
softmax,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
logsumexp,triton,0,True,True,False,pass,0.008848000317811966,,candidate_budget,0.00787200010381639,optimization,0.308593756851662,0.2737134933129194,0.028560000006109476,1,0,183.07008291198872,47.78840328101069,141640,117504,8972,0,993.415207688231,20.262049929937348,904653,754432,48141,0
logsumexp,intent,0,False,True,False,pass,0.2014480009675026,0.2014480009675026,candidate_budget,0.007967999903485179,optimization,7.081271219974643,0.2797752788596609,0.028560000006109476,,3,379.1563467227388,11.63310868688859,921824,795648,16178,0,1130.3641256329138,20.427975435508415,1399565,1225728,55513,0
logsumexp,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
logsumexp,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
logsumexp,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
logsumexp,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
add_mean,triton,0,True,True,False,pass,0.011320000048726797,,candidate_budget,0.011320000048726797,generation,0.614149286476168,0.614149286476168,0.018436000682413578,1,0,110.0395902141463,9.20942540699616,134690,113408,4928,0,1200.3895276100375,41.09324157983065,1323935,1164032,59057,0
add_mean,intent,0,False,True,False,pass,0.1778400018811226,0.1778400018811226,candidate_budget,0.01089600007981062,optimization,9.644251356074303,0.5903771205489999,0.018436000682413578,,2,211.09325390099548,8.116336442762986,489169,429568,8185,0,736.2885557590052,19.93382075522095,984603,850432,34054,0
add_mean,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
add_mean,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
add_mean,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
add_mean,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp_mean,triton,0,True,True,False,pass,0.007840000092983246,,not_run,,,0.546265323231287,,0.014160000020638108,1,,107.03221235610545,3.837584611028433,127239,96000,4763,0,0,0,0,0,0,0
exp_mean,intent,0,True,True,False,pass,0.12010400369763374,0.12010400369763374,not_run,,,8.598511317373077,,0.014160000020638108,,,124.05338354990818,6.379758164053783,320961,276480,5263,0,0,0,0,0,0,0
exp_mean,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp_mean,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp_mean,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp_mean,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
matmul,triton,0,True,True,False,pass,0.028672000393271446,,candidate_budget,0.01601599995046854,optimization,1.581641663573903,0.8866252978115725,0.018132000230252743,,2,147.24642259115353,4.085444808937609,135196,113408,5679,1,1123.3244366969448,29.246214897138998,1092430,911104,55662,0
matmul,intent,0,False,True,False,pass,0.018207999877631664,0.018207999877631664,candidate_budget,0.016080000437796116,optimization,1.0039699832314695,0.8901682830333748,0.018132000230252743,,1,298.1419592651073,298.81245375191793,1059023,889600,11566,0,1273.345368592767,26.158428414026275,1461535,1276928,62539,0
matmul,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
matmul,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
matmul,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
matmul,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
addmm,triton,0,True,True,False,pass,0.03254400007426739,,candidate_budget,0.018080000765621662,optimization,1.4787350127439018,0.815295839172823,0.022123999893665314,,2,122.04774019587785,4.280641944846138,97398,79872,5749,0,974.3189503746107,27.949039259459823,1268126,1090048,46127,0
addmm,intent,0,True,True,False,pass,0.018223999999463558,0.018223999999463558,in_progress,0.018223999999463558,generation,0.819424466095461,0.819424466095461,0.022123999893665314,1,0,105.03734900895506,10.40366453700699,266139,234496,4216,0,916.3046083769295,30.45040246634744,1152293,976384,42737,0
addmm,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
addmm,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
addmm,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
addmm,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tensordot,triton,0,True,True,False,pass,0.0060640000738203526,,candidate_budget,0.005760000087320805,optimization,1.0298913347574439,1.0,,,,141.05183594999835,3.7760235539171845,161614,139776,6175,0,863.2833053118084,26.640337130753323,749452,614144,42539,0
tensordot,intent,0,False,False,False,compilation_failure,,,not_run,,,,,,,,605.2596398061141,308.32796844514087,1420911,1202432,25476,0,0,0,0,0,0,0
tensordot,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tensordot,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tensordot,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tensordot,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tensordot_rsqrt,triton,0,True,True,False,pass,0.04676800034940243,,in_progress,0.04676800034940243,generation,0.999658000135287,0.999658000135287,0.04693600069731474,1,0,212.07238506898284,9.1583582109306,233894,206848,9312,0,85.03363276901655,7.795468211872503,109068,75776,3606,0
tensordot_rsqrt,intent,0,True,True,False,pass,0.04483200050890446,0.04483200050890446,not_run,,,0.952089696520333,,0.04693600069731474,1,,107.03803216200322,8.040966311004013,289740,236800,4366,0,0,0,0,0,0,0
tensordot_rsqrt,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tensordot_rsqrt,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tensordot_rsqrt,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tensordot_rsqrt,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
