task,repeat,direct_generation_status,intent_generation_status,direct_seed_ms,intent_seed_ms,intent_over_direct_seed,direct_optimization_status,intent_optimization_status,direct_optimized_ms,intent_optimized_ms,intent_over_direct_optimized,direct_optimization_speedup,intent_optimization_speedup
conv2d_add,2,not_run,not_run,,,,not_run,not_run,,,,,
combined_activation,0,pass,pass,0.044703999534249306,0.014128000009804964,0.3160343628533954,not_run,not_run,,,,,
combined_activation,1,not_run,not_run,,,,not_run,not_run,,,,,
combined_activation,2,not_run,not_run,,,,not_run,not_run,,,,,
fused_layer_norm_relu_linear,0,pass,pass,0.17387200146913528,0.2038400024175644,1.1723566801740006,not_run,not_run,,,,,
fused_layer_norm_relu_linear,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_layer_norm_relu_linear,2,not_run,not_run,,,,not_run,not_run,,,,,
softplus_linear,0,pass,compilation_failure,0.007840000092983246,,,not_run,not_run,,,,,
softplus_linear,1,not_run,not_run,,,,not_run,not_run,,,,,
softplus_linear,2,not_run,not_run,,,,not_run,not_run,,,,,
permute_copy,0,pass,pass,0.005927999969571829,0.01616000011563301,2.7260459174395417,not_run,not_run,,,,,
permute_copy,1,not_run,not_run,,,,not_run,not_run,,,,,
permute_copy,2,not_run,not_run,,,,not_run,not_run,,,,,
ifftshift,0,pass,pass,0.006152000045403838,0.005880000069737434,0.9557867403025111,not_run,not_run,,,,,
ifftshift,1,not_run,not_run,,,,not_run,not_run,,,,,
ifftshift,2,not_run,not_run,,,,not_run,not_run,,,,,
grid_sample,0,pass,pass,0.028320000506937504,0.35817599296569824,12.647457152338555,candidate_budget,candidate_budget,0.028320000506937504,0.03035199921578169,1.0717513655533448,1.0,11.800738080523628
grid_sample,1,not_run,not_run,,,,not_run,not_run,,,,,
grid_sample,2,not_run,not_run,,,,not_run,not_run,,,,,
fused_gather_masked_fill,0,pass,compilation_failure,0.028384000062942505,,,not_run,not_run,,,,,
fused_gather_masked_fill,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_gather_masked_fill,2,not_run,not_run,,,,not_run,not_run,,,,,
fused_index_select_eq,0,pass,pass,0.0038720000302419066,0.003759999992325902,0.9710743705988537,candidate_budget,candidate_budget,0.0038720000302419066,0.003759999992325902,0.9710743705988537,1.0,1.0
fused_index_select_eq,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_index_select_eq,2,not_run,not_run,,,,not_run,not_run,,,,,
