kernel,case,triton_scope,triton_status,triton_p50_ms,triton_p95_ms,triton_source_p50_ms,triton_source_p95_ms,cutile_scope,cutile_status,cutile_p50_ms,cutile_p95_ms,cutile_source_p50_ms,cutile_source_p95_ms,tilelang_scope,tilelang_status,tilelang_p50_ms,tilelang_p95_ms,tilelang_source_p50_ms,tilelang_source_p95_ms
greedy_nms,default,K,pass,27.7256,27.7334,,,K,pass,58.0039,58.0091,,,K,pass,45.9278,45.9320,,
histogram,default,E,pass,3.9010,3.9021,,,E,pass,3.8903,3.9971,,,E,pass,3.6609,3.6640,,
kmeans_assign,default,K,pass,0.8761,0.8774,,,K,pass,0.9248,0.9341,,,K,pass,0.6275,0.6294,,
radix2_fft,default,K,pass,1.3805,1.4028,,,K,pass,0.6921,0.6949,,,K,pass,0.5126,0.5145,,
roi_align,default,K,pass,0.5894,0.6366,,,K,pass,0.3088,0.3099,,,K,pass,0.3112,0.3130,,
smith_waterman,default,K,pass,1.1803,1.1824,,,K,pass,0.2994,0.3007,,,K,pass,0.2426,0.2435,,
viterbi_decode,default,K,pass,8.5016,8.5036,,,K,pass,29.0438,29.0506,,,K,pass,5.9076,5.9091,,
variant_attention_inline,default,K,pass,0.0553,0.0573,,,K,pass,0.0594,0.0594,,,K,pass,0.0532,0.0545,,
variant_attention_select,default,K,pass,0.0553,0.0573,,,K,pass,0.0594,0.0594,,,K,pass,0.0532,0.0540,,
variant_conv2d_reduce_order,default,K,pass,0.0204,0.0226,,,K,pass,0.0446,0.0453,,,K,unsupported,,,,
variant_gemm_loop_interchange,default,K,pass,2.0874,2.0920,,,K,pass,2.0531,2.0613,,,K,pass,2.1299,2.1412,,
variant_layer_norm_second_moment,default,K,pass,0.1776,0.1792,,,K,pass,0.1761,0.1782,,,K,pass,0.1761,0.1782,,
variant_online_softmax_inline,default,K,pass,0.3871,0.3932,,,K,pass,0.3584,0.3606,,,K,pass,0.3994,0.4127,,
variant_rope_index,default,K,pass,0.0348,0.0369,,,K,pass,0.0389,0.0396,,,K,pass,0.0348,0.0369,,
variant_softmax_online,default,K,pass,0.3888,0.3937,,,K,pass,0.3584,0.3604,,,K,pass,0.3876,0.3953,,
variant_swiglu_helper,default,K,pass,0.2335,0.2365,,,K,pass,0.2438,0.2463,,,K,pass,0.2867,0.2903,,
variant_transpose_scalar_domains,default,K,pass,0.6082,0.6105,,,K,pass,0.6205,0.6227,,,K,pass,0.6113,0.6129,,
nonzero_compact,default,K,pass,0.1405,0.1410,,,K,pass,0.2637,0.2661,,,K,pass,0.1997,0.2004,,
unique_consecutive,default,E,pass,0.3371,0.3377,,,E,pass,1.0061,1.0072,,,E,pass,0.3692,0.3705,,
moe_align_block,default,E,pass,0.1016,0.1054,,,E,pass,0.0774,0.0826,,,E,pass,0.0404,0.0443,,
nested_ragged_pool,default,K,pass,0.2284,0.2299,,,K,pass,0.6400,0.6420,,,K,pass,0.2684,0.2700,,
adamw_update,default,K,pass,0.1188,0.1208,,,K,pass,0.1188,0.1208,,,K,pass,0.1188,0.1190,,
adafactor_update,default,E,pass,0.2575,0.2616,,,E,pass,0.2683,0.2704,,,E,pass,0.2560,0.2580,,
reshape_and_cache,default,K,pass,0.0302,0.0315,,,K,pass,0.0302,0.0312,,,K,pass,0.0307,0.0319,,
group_norm_silu_backward,default,E,pass,0.0518,0.0553,,,E,pass,0.0463,0.0511,,,E,pass,0.0293,0.0335,,
batched_cholesky,default,K,pass,0.0287,0.0338,,,K,pass,0.0348,0.0369,,,K,pass,0.0307,0.0307,,
batched_householder_qr,default,K,pass,0.1188,0.1188,,,K,pass,0.1761,0.1762,,,K,pass,0.1167,0.1170,,
variant_moe_product_domain,default,K,pass,0.0232,0.0255,,,K,pass,0.0200,0.0211,,,K,pass,0.0133,0.0142,,
