algorithm_group,kernel,case,triton_scope,triton_status,triton_p50_ms,triton_p95_ms,triton_source_p50_ms,triton_source_p95_ms,cutile_scope,cutile_status,cutile_p50_ms,cutile_p95_ms,cutile_source_p50_ms,cutile_source_p95_ms,tilelang_scope,tilelang_status,tilelang_p50_ms,tilelang_p95_ms,tilelang_source_p50_ms,tilelang_source_p95_ms
indexing/gather-scatter,grouped_query_head_add,default,K,pass,0.0057,0.0061,,,K,pass,0.0055,0.0059,,,K,pass,0.0055,0.0060,,
indexing/gather-scatter,scalar_table_lookup,default,K,pass,0.0450,0.0460,0.0450,0.0460,K,pass,0.0448,0.0459,,,K,pass,0.0449,0.0459,,
indexing/gather-scatter,index_select_rows,default,K,pass,0.1831,0.1840,0.2200,0.2213,K,pass,0.1836,0.1843,,,K,pass,0.1829,0.1838,,
indexing/gather-scatter,scaled_index_add,default,K,pass,0.2700,0.2713,0.2981,0.3000,K,pass,0.2684,0.2703,,,K,pass,0.2675,0.2690,,
cache/kv,reshape_and_cache,default,K,pass,0.0177,0.0188,,,K,pass,0.0174,0.0186,,,K,pass,0.0178,0.0190,,
cache/kv,variant_reshape_cache_split,default,E,pass,0.0322,0.0348,,,E,pass,0.0213,0.0220,,,E,pass,0.0220,0.0229,,
layout/transpose,matrix_transpose,default,K,pass,0.0655,0.0693,0.2790,0.2796,K,pass,0.0672,0.0782,,,K,pass,0.0808,0.0831,,
layout/transpose,variant_transpose_scalar_domains,default,K,pass,0.5592,0.5605,,,K,pass,0.5574,0.5589,,,K,pass,0.5589,0.5605,,
layout/transpose,variant_transpose_product_domain,default,K,pass,0.5584,0.5595,,,K,pass,0.5578,0.5592,,,K,pass,0.5588,0.5599,,
pointwise/broadcast,batched_row_affine,default,K,pass,0.0563,0.0575,0.0576,0.0587,K,pass,0.0621,0.0634,,,K,pass,0.0633,0.0651,,
pointwise/broadcast,value_select,default,K,pass,0.0609,0.0625,,,K,pass,0.0656,0.0673,,,K,pass,0.1527,0.1557,,
reduction/statistics,boolean_reduction,default,K,pass,0.0097,0.0100,,,K,pass,0.0094,0.0098,,,K,pass,0.0109,0.0112,,
reduction/statistics,histogram,default,E,pass,2.1636,2.1646,2.1647,2.1656,E,pass,2.1681,2.1690,,,E,pass,2.1648,2.1658,,
reduction/statistics,atomic_compare_exchange,default,K,pass,0.0446,0.0450,,,K,pass,0.0444,0.0448,,,K,unsupported,,,,
selection/sort-sample,sorted_nucleus_cutoff,default,K,pass,0.0185,0.0198,,,K,pass,0.0220,0.0235,,,K,pass,0.0272,0.0282,,
selection/sort-sample,insertion_top_k,default,K,pass,1.3412,1.3447,,,K,pass,1.0182,1.0236,,,K,pass,1.5690,1.5716,,
selection/sort-sample,bitonic_sort,default,K,pass,3.5611,3.5681,,,K,pass,0.9813,0.9837,,,K,pass,1.0245,1.0289,,
compaction,nonzero_compact,default,K,pass,0.1874,0.1876,,,K,pass,0.3307,0.3310,,,K,pass,0.3508,0.3514,,
compaction,unique_consecutive,default,E,pass,0.4778,0.4781,,,E,pass,1.6820,1.6824,,,E,pass,0.5637,0.5641,,
sparse/csr,csr_spmv,default,K,pass,0.0665,0.0669,,,K,pass,0.1036,0.1038,,,K,pass,0.0636,0.0637,,
sparse/csr,csr_spmm,default,K,pass,0.0442,0.0477,,,K,pass,0.0900,0.0903,,,K,pass,0.0212,0.0231,,
ragged/pooling,jagged_mean,default,K,pass,0.0366,0.0509,0.0313,0.0336,K,pass,0.0232,0.0264,,,K,pass,0.0133,0.0150,,
ragged/pooling,nested_ragged_pool,default,K,pass,0.6051,0.6091,,,K,pass,0.8735,0.8751,,,K,pass,0.4505,0.4514,,
ragged/pooling,variant_nested_ragged_identity,default,K,pass,0.8370,0.8428,,,K,pass,0.4293,0.4316,,,K,pass,0.8312,0.8337,,
ragged/pooling,variant_nested_ragged_split,default,E,pass,0.5430,0.5509,,,E,pass,0.5560,0.5566,,,E,pass,0.5357,0.5380,,
optimization/update,adamw_update,default,K,pass,0.0820,0.0823,0.0827,0.0833,K,pass,0.0815,0.0818,,,K,pass,0.0825,0.0830,,
optimization/update,variant_adamw_split_pipeline,default,E,pass,0.1078,0.1090,,,E,pass,0.1080,0.1092,,,E,pass,0.1104,0.1115,,
optimization/update,adafactor_update,default,E,pass,0.2266,0.2291,,,E,pass,0.2415,0.2447,,,E,pass,0.2281,0.2308,,
optimization/update,variant_adafactor_scalar_product,default,K,pass,0.0705,0.0717,,,K,pass,0.0716,0.0724,,,K,pass,0.0765,0.0776,,
factorization/solve,batched_cholesky,default,K,pass,0.0363,0.0367,,,K,pass,0.0592,0.0595,,,K,pass,0.0430,0.0433,,
factorization/solve,variant_cholesky_right_looking,default,K,pass,0.0491,0.0531,,,K,pass,0.0540,0.0542,,,K,pass,0.0599,0.0601,,
factorization/solve,batched_householder_qr,default,K,pass,0.1652,0.1654,,,K,pass,0.2659,0.2660,,,K,pass,0.1500,0.1503,,
factorization/solve,triangular_solve,default,K,pass,0.0413,0.0418,0.0378,0.0400,K,pass,0.0291,0.0317,,,K,pass,0.0351,0.0355,,
vision/pooling,max_pool2d,default,K,pass,0.0227,0.0234,,,K,pass,0.0256,0.0267,,,K,pass,0.0277,0.0280,,
vision/pooling,max_pool2d_with_indices,default,K,pass,0.0484,0.0491,0.0183,0.0193,K,pass,0.0306,0.0319,,,K,pass,0.0233,0.0238,,
vision/roi-align,roi_align,default,K,pass,1.1212,1.1478,,,K,pass,0.5582,0.5614,,,K,pass,0.4686,0.4693,,
vision/nms,greedy_nms,default,K,pass,39.4819,39.4843,,,K,pass,86.4381,86.4385,,,K,pass,66.5427,66.5430,,
dynamic-programming,smith_waterman,default,K,pass,1.7194,1.7197,,,K,pass,0.6163,0.6166,,,K,pass,0.3970,0.3973,,
dynamic-programming,viterbi_decode,default,K,pass,12.8708,12.8761,,,K,pass,43.2362,43.2471,,,K,pass,10.2195,10.2228,,
dynamic-programming,record_fields,default,K,pass,0.0097,0.0101,,,K,pass,0.0099,0.0109,,,K,pass,0.0097,0.0105,,
dynamic-programming,scalar_while,default,K,pass,0.1850,0.1854,,,K,pass,0.2378,0.2383,,,K,pass,0.4136,0.4140,,
spectral/fft,radix2_fft,default,K,pass,2.3857,2.3982,,,K,pass,1.4231,1.4276,,,K,pass,1.6983,1.7032,,
clustering/assignment,kmeans_assign,default,K,pass,1.5410,1.5447,,,K,pass,1.4249,1.4346,,,K,pass,0.7339,0.7342,,
simulation/monte-carlo,barrier_option,default,K,pass,1.9184,1.9197,,,K,pass,0.4679,0.4697,,,K,pass,2.5130,2.5154,,
